Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando
12/2/2020,35519,14292,45083,6177,9460,16677,8037,7344,2405
12/1/2020,35504,14278,44992,6167,9427,16667,8029,7342,2404
11/30/2020,35497,14265,44930,6161,9425,16658,8027,7342,2403
11/29/2020,35494,14250,44885,6158,9420,16652,8021,7340,2402
11/28/2020,35489,14250,44877,6148,9416,16652,8018,7340,2402
11/27/2020,35466,14245,44861,6147,9415,16618,8001,7340,2401
11/26/2020,35447,14229,44830,6139,9403,16615,7988,7339,2400
11/25/2020,35437,14197,44790,6134,9389,16609,7985,7339,2396
11/24/2020,35421,14181,44746,6130,9366,16597,7979,7332,2395
11/23/2020,35414,14167,44691,6127,9351,16585,7974,7331,2394
11/22/2020,35413,14157,44661,6127,9350,16575,7970,7331,2394
11/21/2020,35383,14136,44630,6121,9342,16557,7960,7331,2394
11/20/2020,35369,14127,44588,6111,9339,16545,7952,7331,2394
11/19/2020,35369,14127,44588,6111,9339,16545,7952,7331,2394
11/18/2020,35307,14117,44551,6105,9296,16528,7942,7330,2393
11/17/2020,35286,14115,44523,6102,9274,16517,7939,7324,2393
11/16/2020,35271,14109,44478,6100,9272,16498,7933,7318,2392
11/15/2020,35237,14087,44436,6096,9259,16491,7930,7318,2392
11/14/2020,35218,14083,44410,6088,9259,16491,7922,7318,2392
11/13/2020,35182,14080,44398,6084,9242,16469,7907,7318,2389
11/12/2020,35123,14062,44347,6083,9220,16454,7898,7317,2385
11/11/2020,35115,14042,44312,6069,9198,16442,7896,7317,2385
11/10/2020,35109,14033,44275,6063,9178,16416,7892,7314,2384
11/9/2020,35086,14023,44203,6057,9167,16362,7882,7311,2384
11/8/2020,35086,14023,44203,6057,9167,16362,7882,7311,2384
11/7/2020,35061,14014,44185,6039,9157,16326,7869,7311,2381
11/6/2020,35061,14014,44185,6039,9157,16326,7869,7311,2381
11/5/2020,35048,14011,44135,6028,9142,16299,7855,7305,2378
11/4/2020,35010,13999,44095,6024,9134,16273,7849,7300,2378
11/3/2020,35000,13988,44049,6018,9124,16248,7837,7295,2377
