"country","date","confirmed"
"Chuquisaca",2020-03-10,0
"Chuquisaca",2020-03-11,0
"Chuquisaca",2020-03-12,0
"Chuquisaca",2020-03-13,0
"Chuquisaca",2020-03-14,0
"Chuquisaca",2020-03-15,0
"Chuquisaca",2020-03-16,0
"Chuquisaca",2020-03-17,0
"Chuquisaca",2020-03-18,0
"Chuquisaca",2020-03-19,0
"Chuquisaca",2020-03-20,0
"Chuquisaca",2020-03-21,0
"Chuquisaca",2020-03-22,0
"Chuquisaca",2020-03-23,0
"Chuquisaca",2020-03-24,0
"Chuquisaca",2020-03-25,0
"Chuquisaca",2020-03-26,0
"Chuquisaca",2020-03-27,1
"Chuquisaca",2020-03-28,1
"Chuquisaca",2020-03-29,1
"Chuquisaca",2020-03-30,1
"Chuquisaca",2020-03-31,1
"Chuquisaca",2020-04-01,1
"Chuquisaca",2020-04-02,1
"Chuquisaca",2020-04-03,1
"Chuquisaca",2020-04-04,1
"Chuquisaca",2020-04-05,1
"Chuquisaca",2020-04-06,1
"Chuquisaca",2020-04-07,1
"Chuquisaca",2020-04-08,1
"Chuquisaca",2020-04-09,1
"Chuquisaca",2020-04-10,1
"Chuquisaca",2020-04-11,1
"Chuquisaca",2020-04-12,1
"Chuquisaca",2020-04-13,1
"Chuquisaca",2020-04-14,1
"Chuquisaca",2020-04-15,1
"Chuquisaca",2020-04-16,1
"Chuquisaca",2020-04-17,1
"Chuquisaca",2020-04-18,1
"Chuquisaca",2020-04-19,1
"Chuquisaca",2020-04-20,1
"Chuquisaca",2020-04-21,1
"Chuquisaca",2020-04-22,1
"Chuquisaca",2020-04-23,2
"Chuquisaca",2020-04-24,2
"Chuquisaca",2020-04-25,2
"Chuquisaca",2020-04-26,2
"Chuquisaca",2020-04-27,3
"Chuquisaca",2020-04-28,3
"Chuquisaca",2020-04-29,3
"Chuquisaca",2020-04-30,3
"Chuquisaca",2020-05-01,4
"Chuquisaca",2020-05-02,4
"Chuquisaca",2020-05-03,4
"Chuquisaca",2020-05-04,5
"Chuquisaca",2020-05-05,6
"Chuquisaca",2020-05-06,6
"Chuquisaca",2020-05-07,11
"Chuquisaca",2020-05-08,11
"Chuquisaca",2020-05-09,14
"Chuquisaca",2020-05-10,15
"Chuquisaca",2020-05-11,15
"Chuquisaca",2020-05-12,15
"Chuquisaca",2020-05-13,15
"Chuquisaca",2020-05-14,15
"Chuquisaca",2020-05-15,15
"Chuquisaca",2020-05-16,16
"Chuquisaca",2020-05-17,17
"Chuquisaca",2020-05-18,17
"Chuquisaca",2020-05-19,17
"Chuquisaca",2020-05-20,19
"Chuquisaca",2020-05-21,19
"Chuquisaca",2020-05-22,19
"Chuquisaca",2020-05-23,21
"Chuquisaca",2020-05-24,21
"Chuquisaca",2020-05-25,22
"Chuquisaca",2020-05-26,22
"Chuquisaca",2020-05-27,25
"Chuquisaca",2020-05-28,25
"Chuquisaca",2020-05-29,25
"Chuquisaca",2020-05-30,25
"Chuquisaca",2020-05-31,26
"Chuquisaca",2020-06-01,28
"Chuquisaca",2020-06-02,29
"Chuquisaca",2020-06-03,31
"Chuquisaca",2020-06-04,32
"Chuquisaca",2020-06-05,38
"Chuquisaca",2020-06-06,39
"Chuquisaca",2020-06-07,39
"Chuquisaca",2020-06-08,43
"Chuquisaca",2020-06-09,43
"Chuquisaca",2020-06-10,61
"Chuquisaca",2020-06-11,74
"Chuquisaca",2020-06-12,85
"Chuquisaca",2020-06-13,100
"Chuquisaca",2020-06-14,102
"Chuquisaca",2020-06-15,117
"Chuquisaca",2020-06-16,129
"Chuquisaca",2020-06-17,134
"Chuquisaca",2020-06-18,185
"Chuquisaca",2020-06-19,196
"Chuquisaca",2020-06-20,253
"Chuquisaca",2020-06-21,301
"Chuquisaca",2020-06-22,301
"Chuquisaca",2020-06-23,382
"Chuquisaca",2020-06-24,422
"Chuquisaca",2020-06-25,470
"Chuquisaca",2020-06-26,524
"Chuquisaca",2020-06-27,578
"Chuquisaca",2020-06-28,637
"Chuquisaca",2020-06-29,644
"Chuquisaca",2020-06-30,707
"Chuquisaca",2020-07-01,766
"Chuquisaca",2020-07-02,811
"Chuquisaca",2020-07-03,852
"Chuquisaca",2020-07-04,917
"Chuquisaca",2020-07-05,967
"Chuquisaca",2020-07-06,1000
"Chuquisaca",2020-07-07,1068
"Chuquisaca",2020-07-08,1099
"Chuquisaca",2020-07-09,1162
"Chuquisaca",2020-07-10,1165
"Chuquisaca",2020-07-11,1298
"Chuquisaca",2020-07-12,1332
"Chuquisaca",2020-07-13,1332
"Chuquisaca",2020-07-14,1374
"Chuquisaca",2020-07-15,1422
"Chuquisaca",2020-07-16,1490
"Chuquisaca",2020-07-17,1536
"Chuquisaca",2020-07-18,1588
"Chuquisaca",2020-07-19,1605
"Chuquisaca",2020-07-20,1637
"Chuquisaca",2020-07-21,1662
"Chuquisaca",2020-07-22,1698
"Chuquisaca",2020-07-23,1736
"Chuquisaca",2020-07-24,1807
"Chuquisaca",2020-07-25,1826
"Chuquisaca",2020-07-26,1834
"Chuquisaca",2020-07-27,1894
"Chuquisaca",2020-07-28,1921
"Chuquisaca",2020-07-29,1944
"Chuquisaca",2020-07-30,1962
"Chuquisaca",2020-07-31,2051
"Chuquisaca",2020-08-01,2094
"Chuquisaca",2020-08-02,2141
"Chuquisaca",2020-08-03,2199
"Chuquisaca",2020-08-04,2261
"Chuquisaca",2020-08-05,2337
"Chuquisaca",2020-08-06,2436
"Chuquisaca",2020-08-07,2562
"Chuquisaca",2020-08-08,2661
"Chuquisaca",2020-08-09,2712
"Chuquisaca",2020-08-10,2837
"Chuquisaca",2020-08-11,2978
"Chuquisaca",2020-08-12,3127
"Chuquisaca",2020-08-13,3296
"Chuquisaca",2020-08-14,3477
"Chuquisaca",2020-08-15,3623
"Chuquisaca",2020-08-16,3808
"Chuquisaca",2020-08-17,3985
"Chuquisaca",2020-08-18,4147
"Chuquisaca",2020-08-19,4254
"Chuquisaca",2020-08-20,4343
"Chuquisaca",2020-08-21,4421
"Chuquisaca",2020-08-22,4536
"Chuquisaca",2020-08-23,4638
"Chuquisaca",2020-08-24,4705
"Chuquisaca",2020-08-25,4786
"Chuquisaca",2020-08-26,4851
"Chuquisaca",2020-08-27,4923
"Chuquisaca",2020-08-28,5024
"Chuquisaca",2020-08-29,5097
"Chuquisaca",2020-08-30,5133
"Chuquisaca",2020-08-31,5220
"Chuquisaca",2020-09-01,5295
"Chuquisaca",2020-09-02,5360
"Chuquisaca",2020-09-03,5433
