country,date,confirmed
La Paz,3/21/20,1
La Paz,3/22/20,1
La Paz,3/23/20,1
La Paz,3/24/20,3
La Paz,3/25/20,4
La Paz,3/26/20,8
La Paz,3/27/20,8
La Paz,3/28/20,10
La Paz,3/29/20,13
La Paz,3/30/20,14
La Paz,3/31/20,16
La Paz,4/1/20,16
La Paz,4/2/20,19
La Paz,4/3/20,20
La Paz,4/4/20,23
La Paz,4/5/20,32
La Paz,4/6/20,37
La Paz,4/7/20,39
La Paz,4/8/20,57
La Paz,4/9/20,57
La Paz,4/10/20,59
La Paz,4/11/20,65
La Paz,4/12/20,73
La Paz,4/13/20,80
La Paz,4/14/20,91
La Paz,4/15/20,101
La Paz,4/16/20,120
La Paz,4/17/20,120
La Paz,4/18/20,126
La Paz,4/19/20,133
La Paz,4/20/20,134
La Paz,4/21/20,137
La Paz,4/22/20,140
La Paz,4/23/20,150
La Paz,4/24/20,155
La Paz,4/25/20,159
La Paz,4/26/20,168
La Paz,4/27/20,185
La Paz,4/28/20,188
La Paz,4/29/20,202
La Paz,4/30/20,218
La Paz,5/1/20,221
La Paz,5/2/20,236
La Paz,5/3/20,241
La Paz,5/4/20,243
La Paz,5/5/20,253
La Paz,5/6/20,260
La Paz,5/7/20,271
La Paz,5/8/20,294
La Paz,5/9/20,301
La Paz,5/10/20,309
La Paz,5/11/20,313
La Paz,5/12/20,316
La Paz,5/13/20,319
La Paz,5/14/20,322
La Paz,5/15/20,328
La Paz,5/16/20,333
La Paz,5/17/20,335
La Paz,5/18/20,342
La Paz,5/19/20,355
La Paz,5/20/20,363
La Paz,5/21/20,375
La Paz,5/22/20,381
La Paz,5/23/20,386
La Paz,5/24/20,394
La Paz,5/25/20,403
La Paz,5/26/20,410
La Paz,5/27/20,415
La Paz,5/28/20,423
La Paz,5/29/20,444
La Paz,5/30/20,478
La Paz,5/31/20,507
La Paz,6/1/20,555
La Paz,6/2/20,614
La Paz,6/3/20,635
La Paz,6/4/20,661
La Paz,6/5/20,692
La Paz,6/6/20,737
La Paz,6/7/20,754
La Paz,6/8/20,754
La Paz,6/9/20,804
La Paz,6/10/20,842
La Paz,6/11/20,932
La Paz,6/12/20,983
La Paz,6/13/20,1064
La Paz,6/14/20,1149
La Paz,6/15/20,1213
La Paz,6/16/20,1254
La Paz,6/17/20,1298
La Paz,6/18/20,1386
La Paz,6/19/20,1469
La Paz,6/20/20,1545
La Paz,6/21/20,1780
La Paz,6/22/20,1918
La Paz,6/23/20,1966
La Paz,6/24/20,2161
La Paz,6/25/20,2373
La Paz,6/26/20,2580
La Paz,6/27/20,2774
La Paz,6/28/20,2882
La Paz,6/29/20,2967
La Paz,6/30/20,3029
La Paz,7/1/20,3241
La Paz,7/2/20,3397
La Paz,7/3/20,3634
La Paz,7/4/20,3872
La Paz,7/5/20,4205
La Paz,7/6/20,4685
La Paz,7/7/20,4876
La Paz,7/8/20,5151
La Paz,7/9/20,5376
La Paz,7/10/20,5704
La Paz,7/11/20,6366
La Paz,7/12/20,6703
La Paz,7/13/20,7124
La Paz,7/14/20,7402
La Paz,7/15/20,7662
La Paz,7/16/20,7976
La Paz,7/17/20,8209
La Paz,7/18/20,8922
La Paz,7/19/20,9655
La Paz,7/20/20,10190
La Paz,7/21/20,10621
La Paz,7/22/20,11409
La Paz,7/23/20,11943
La Paz,7/24/20,12273
La Paz,7/25/20,13371
La Paz,7/26/20,13780
La Paz,7/27/20,14403
La Paz,7/28/20,14618
La Paz,7/29/20,14982
La Paz,7/30/20,15595
La Paz,7/31/20,15951
La Paz,8/1/20,16425
La Paz,8/2/20,16823
La Paz,8/3/20,17699
La Paz,8/4/20,18115
La Paz,8/5/20,19024
La Paz,8/6/20,19575
La Paz,8/7/20,20481
La Paz,8/8/20,21105
La Paz,8/9/20,21606
La Paz,8/10/20,22322
La Paz,8/11/20,22908
La Paz,8/12/20,23721
La Paz,8/13/20,24145
La Paz,8/14/20,24602
La Paz,8/15/20,25122
La Paz,8/16/20,25776
La Paz,8/17/20,26052
La Paz,8/18/20,26295
La Paz,8/19/20,27100
La Paz,8/20/20,27306
La Paz,8/21/20,27771
La Paz,8/22/20,27985
La Paz,8/23/20,28328
La Paz,8/24/20,28935
La Paz,8/25/20,29149
La Paz,8/26/20,29498
La Paz,8/27/20,29851
La Paz,8/28/20,30349
La Paz,8/29/20,30678
La Paz,8/30/20,30898
La Paz,8/31/20,30999
La Paz,9/1/20,31039
La Paz,9/2/20,31124
La Paz,9/3/20,31232
La Paz,9/4/20,31446
La Paz,9/5/20,31725
La Paz,9/6/20,31889
La Paz,9/7/20,32161
La Paz,9/8/20,32268
La Paz,9/9/20,32565
La Paz,9/10/20,32797
La Paz,9/11/20,32950
La Paz,9/12/20,33082
La Paz,9/13/20,33296
La Paz,9/14/20,33619
La Paz,9/15/20,33731
La Paz,9/16/20,33804
La Paz,9/17/20,33842
La Paz,9/18/20,33875
La Paz,9/19/20,33969
La Paz,9/20/20,34003
La Paz,9/21/20,34030
La Paz,9/22/20,34067
La Paz,9/23/20,34091
La Paz,9/24/20,34136
La Paz,9/25/20,34181
La Paz,9/26/20,34181
Cochabamba,3/21/20,2
Cochabamba,3/22/20,3
Cochabamba,3/23/20,3
Cochabamba,3/24/20,3
Cochabamba,3/25/20,3
Cochabamba,3/26/20,10
Cochabamba,3/27/20,14
Cochabamba,3/28/20,14
Cochabamba,3/29/20,18
Cochabamba,3/30/20,20
Cochabamba,3/31/20,20
Cochabamba,4/1/20,21
Cochabamba,4/2/20,22
Cochabamba,4/3/20,24
Cochabamba,4/4/20,25
Cochabamba,4/5/20,33
Cochabamba,4/6/20,33
Cochabamba,4/7/20,38
Cochabamba,4/8/20,47
Cochabamba,4/9/20,48
Cochabamba,4/10/20,48
Cochabamba,4/11/20,49
Cochabamba,4/12/20,52
Cochabamba,4/13/20,54
Cochabamba,4/14/20,57
Cochabamba,4/15/20,59
Cochabamba,4/16/20,59
Cochabamba,4/17/20,60
Cochabamba,4/18/20,60
Cochabamba,4/19/20,61
Cochabamba,4/20/20,61
Cochabamba,4/21/20,62
Cochabamba,4/22/20,63
Cochabamba,4/23/20,66
Cochabamba,4/24/20,70
Cochabamba,4/25/20,71
Cochabamba,4/26/20,78
Cochabamba,4/27/20,78
Cochabamba,4/28/20,79
Cochabamba,4/29/20,80
Cochabamba,4/30/20,80
Cochabamba,5/1/20,80
Cochabamba,5/2/20,81
Cochabamba,5/3/20,81
Cochabamba,5/4/20,82
Cochabamba,5/5/20,82
Cochabamba,5/6/20,82
Cochabamba,5/7/20,82
Cochabamba,5/8/20,90
Cochabamba,5/9/20,95
Cochabamba,5/10/20,104
Cochabamba,5/11/20,109
Cochabamba,5/12/20,130
Cochabamba,5/13/20,148
Cochabamba,5/14/20,170
Cochabamba,5/15/20,196
Cochabamba,5/16/20,214
Cochabamba,5/17/20,224
Cochabamba,5/18/20,228
Cochabamba,5/19/20,246
Cochabamba,5/20/20,259
Cochabamba,5/21/20,266
Cochabamba,5/22/20,285
Cochabamba,5/23/20,295
Cochabamba,5/24/20,329
Cochabamba,5/25/20,339
Cochabamba,5/26/20,345
Cochabamba,5/27/20,376
Cochabamba,5/28/20,419
Cochabamba,5/29/20,488
Cochabamba,5/30/20,556
Cochabamba,5/31/20,611
Cochabamba,6/1/20,714
Cochabamba,6/2/20,786
Cochabamba,6/3/20,851
Cochabamba,6/4/20,898
Cochabamba,6/5/20,960
Cochabamba,6/6/20,1022
Cochabamba,6/7/20,1097
Cochabamba,6/8/20,1097
Cochabamba,6/9/20,1231
Cochabamba,6/10/20,1297
Cochabamba,6/11/20,1369
Cochabamba,6/12/20,1441
Cochabamba,6/13/20,1537
Cochabamba,6/14/20,1723
Cochabamba,6/15/20,1878
Cochabamba,6/16/20,1915
Cochabamba,6/17/20,2041
Cochabamba,6/18/20,2179
Cochabamba,6/19/20,2302
Cochabamba,6/20/20,2360
Cochabamba,6/21/20,2551
Cochabamba,6/22/20,2612
Cochabamba,6/23/20,2775
Cochabamba,6/24/20,2920
Cochabamba,6/25/20,2970
Cochabamba,6/26/20,3233
Cochabamba,6/27/20,3416
Cochabamba,6/28/20,3468
Cochabamba,6/29/20,3501
Cochabamba,6/30/20,3640
Cochabamba,7/1/20,3744
Cochabamba,7/2/20,3836
Cochabamba,7/3/20,4089
Cochabamba,7/4/20,4146
Cochabamba,7/5/20,4199
Cochabamba,7/6/20,4429
Cochabamba,7/7/20,4492
Cochabamba,7/8/20,4635
Cochabamba,7/9/20,4769
Cochabamba,7/10/20,4915
Cochabamba,7/11/20,5014
Cochabamba,7/12/20,5188
Cochabamba,7/13/20,5315
Cochabamba,7/14/20,5468
Cochabamba,7/15/20,5744
Cochabamba,7/16/20,5926
Cochabamba,7/17/20,6045
Cochabamba,7/18/20,6277
Cochabamba,7/19/20,6406
Cochabamba,7/20/20,6526
Cochabamba,7/21/20,6694
Cochabamba,7/22/20,6887
Cochabamba,7/23/20,7047
Cochabamba,7/24/20,7305
Cochabamba,7/25/20,7420
Cochabamba,7/26/20,7544
Cochabamba,7/27/20,8104
Cochabamba,7/28/20,8310
Cochabamba,7/29/20,8410
Cochabamba,7/30/20,8582
Cochabamba,7/31/20,9030
Cochabamba,8/1/20,9418
Cochabamba,8/2/20,9626
Cochabamba,8/3/20,9815
Cochabamba,8/4/20,10031
Cochabamba,8/5/20,10213
Cochabamba,8/6/20,10309
Cochabamba,8/7/20,10392
Cochabamba,8/8/20,10435
Cochabamba,8/9/20,10586
Cochabamba,8/10/20,10722
Cochabamba,8/11/20,10845
Cochabamba,8/12/20,10990
Cochabamba,8/13/20,11074
Cochabamba,8/14/20,11259
Cochabamba,8/15/20,11346
Cochabamba,8/16/20,11359
Cochabamba,8/17/20,11411
Cochabamba,8/18/20,11491
Cochabamba,8/19/20,11563
Cochabamba,8/20/20,11621
Cochabamba,8/21/20,11689
Cochabamba,8/22/20,11791
Cochabamba,8/23/20,11844
Cochabamba,8/24/20,11956
Cochabamba,8/25/20,12017
Cochabamba,8/26/20,12068
Cochabamba,8/27/20,12161
Cochabamba,8/28/20,12204
Cochabamba,8/29/20,12290
Cochabamba,8/30/20,12297
Cochabamba,8/31/20,12370
Cochabamba,9/1/20,12432
Cochabamba,9/2/20,12516
Cochabamba,9/3/20,12559
Cochabamba,9/4/20,12589
Cochabamba,9/5/20,12615
Cochabamba,9/6/20,12624
Cochabamba,9/7/20,12629
Cochabamba,9/8/20,12671
Cochabamba,9/9/20,12721
Cochabamba,9/10/20,12766
Cochabamba,9/11/20,12889
Cochabamba,9/12/20,13065
Cochabamba,9/13/20,13142
Cochabamba,9/14/20,13192
Cochabamba,9/15/20,13261
Cochabamba,9/16/20,13294
Cochabamba,9/17/20,13328
Cochabamba,9/18/20,13378
Cochabamba,9/19/20,13392
Cochabamba,9/20/20,13394
Cochabamba,9/21/20,13422
Cochabamba,9/22/20,13429
Cochabamba,9/23/20,13451
Cochabamba,9/24/20,13488
Cochabamba,9/25/20,13507
Cochabamba,9/26/20,13507
Santa Cruz,3/21/20,9
Santa Cruz,3/22/20,15
Santa Cruz,3/23/20,16
Santa Cruz,3/24/20,18
Santa Cruz,3/25/20,24
Santa Cruz,3/26/20,34
Santa Cruz,3/27/20,42
Santa Cruz,3/28/20,44
Santa Cruz,3/29/20,52
Santa Cruz,3/30/20,59
Santa Cruz,3/31/20,64
Santa Cruz,4/1/20,68
Santa Cruz,4/2/20,70
Santa Cruz,4/3/20,74
Santa Cruz,4/4/20,88
Santa Cruz,4/5/20,97
Santa Cruz,4/6/20,100
Santa Cruz,4/7/20,103
Santa Cruz,4/8/20,127
Santa Cruz,4/9/20,130
Santa Cruz,4/10/20,134
Santa Cruz,4/11/20,147
Santa Cruz,4/12/20,163
Santa Cruz,4/13/20,177
Santa Cruz,4/14/20,190
Santa Cruz,4/15/20,215
Santa Cruz,4/16/20,218
Santa Cruz,4/17/20,237
Santa Cruz,4/18/20,255
Santa Cruz,4/19/20,290
Santa Cruz,4/20/20,317
Santa Cruz,4/21/20,324
Santa Cruz,4/22/20,371
Santa Cruz,4/23/20,385
Santa Cruz,4/24/20,446
Santa Cruz,4/25/20,489
Santa Cruz,4/26/20,525
Santa Cruz,4/27/20,553
Santa Cruz,4/28/20,587
Santa Cruz,4/29/20,615
Santa Cruz,4/30/20,656
Santa Cruz,5/1/20,693
Santa Cruz,5/2/20,806
Santa Cruz,5/3/20,904
Santa Cruz,5/4/20,979
Santa Cruz,5/5/20,1083
Santa Cruz,5/6/20,1160
Santa Cruz,5/7/20,1318
Santa Cruz,5/8/20,1387
Santa Cruz,5/9/20,1537
Santa Cruz,5/10/20,1633
Santa Cruz,5/11/20,1823
Santa Cruz,5/12/20,1925
Santa Cruz,5/13/20,2041
Santa Cruz,5/14/20,2163
Santa Cruz,5/15/20,2297
Santa Cruz,5/16/20,2518
Santa Cruz,5/17/20,2763
Santa Cruz,5/18/20,2894
Santa Cruz,5/19/20,2982
Santa Cruz,5/20/20,3241
Santa Cruz,5/21/20,3414
Santa Cruz,5/22/20,3665
Santa Cruz,5/23/20,3900
Santa Cruz,5/24/20,4199
Santa Cruz,5/25/20,4527
Santa Cruz,5/26/20,4888
Santa Cruz,5/27/20,5366
Santa Cruz,5/28/20,5774
Santa Cruz,5/29/20,5946
Santa Cruz,5/30/20,6542
Santa Cruz,5/31/20,6711
Santa Cruz,6/1/20,7018
Santa Cruz,6/2/20,7235
Santa Cruz,6/3/20,7637
Santa Cruz,6/4/20,7952
Santa Cruz,6/5/20,8144
Santa Cruz,6/6/20,8556
Santa Cruz,6/7/20,8676
Santa Cruz,6/8/20,8676
Santa Cruz,6/9/20,9224
Santa Cruz,6/10/20,9594
Santa Cruz,6/11/20,10127
Santa Cruz,6/12/20,10536
Santa Cruz,6/13/20,11154
Santa Cruz,6/14/20,11424
Santa Cruz,6/15/20,11741
Santa Cruz,6/16/20,12366
Santa Cruz,6/17/20,12725
Santa Cruz,6/18/20,12988
Santa Cruz,6/19/20,13539
Santa Cruz,6/20/20,14165
Santa Cruz,6/21/20,14499
Santa Cruz,6/22/20,15067
Santa Cruz,6/23/20,15442
Santa Cruz,6/24/20,15984
Santa Cruz,6/25/20,16555
Santa Cruz,6/26/20,16777
Santa Cruz,6/27/20,17455
Santa Cruz,6/28/20,17873
Santa Cruz,6/29/20,18211
Santa Cruz,6/30/20,18881
Santa Cruz,7/1/20,19257
Santa Cruz,7/2/20,19991
Santa Cruz,7/3/20,20558
Santa Cruz,7/4/20,21190
Santa Cruz,7/5/20,21752
Santa Cruz,7/6/20,21953
Santa Cruz,7/7/20,22398
Santa Cruz,7/8/20,22926
Santa Cruz,7/9/20,23411
Santa Cruz,7/10/20,24025
Santa Cruz,7/11/20,24625
Santa Cruz,7/12/20,24900
Santa Cruz,7/13/20,25260
Santa Cruz,7/14/20,26124
Santa Cruz,7/15/20,26671
Santa Cruz,7/16/20,27744
Santa Cruz,7/17/20,28989
Santa Cruz,7/18/20,29484
Santa Cruz,7/19/20,29754
Santa Cruz,7/20/20,30309
Santa Cruz,7/21/20,30887
